ID;ISO 3166-2;Code Géographique;Provinces;Ménages;Population;Etrangers;Marocains;Densite population;Pop totale;Pop urbaine;Pop rurale;Pop masculine;Pop féminine;Taux scolarisation 7-12 ans;Taux scolarisation 7-12 ans URBAINS;Taux scolarisation 7-12 ans RURAUX;Taux analphabétisme pop sup 10 ans;Taux analphabétisme pop sup 10 ans URBAINS;Taux analphabétisme pop sup 10 ans RURAL
1;MA-AGD;1;Préfecture  Agadir-Ida -Ou-Tanane;143752;600599;3708;596891;246.598205124;598757;506517;92240;301264;297493;97.808758;98.673666;93.535711;23.495175;19.377959;46.386934
41;MA-HAO;41;Province  Al  Haouz;111627;573128;362;572766;95.1389663937;571999;84205;487794;291795;280204;94.632103;98.122466;94.065153;44.114752;27.897253;46.95254
51;MA-HOC;51;Province  Al Hoceima;79326;399654;236;399418;112.725354061;397708;135840;261868;198506;199202;92.481278;97.603505;90.402315;39.319859;27.34404;45.735639
61;MA-MEK;61;Préfecture  Meknès;192654;835695;1269;834426;463.967600496;827479;684484;142995;408004;419475;97.078418;98.046917;93.06937;25.312667;21.484139;44.536239
66;MA-AOU;66;Province  Aousserd;776;16190;180;16010;0.0376578216551;2396;0;2396;1836;560;95.575221;0;95.575221;25.302889;0;25.302889
71;MA-GUE;71;Province  Assa-Zag;5208;44124;4;44120;1.10909007422;26947;18584;8363;13435;13512;89.186603;97.768281;71.622935;36.84755;28.779525;54.874525
81;MA-AZI;81;Province  Azilal;97346;554001;106;553895;59.7576980583;552884;100189;452695;277571;275313;91.105114;98.346961;89.727463;47.607932;28.861532;51.983521
91;MA-BEM;91;Province  Béni Mellal;123067;550678;464;550214;125.760377815;548776;325562;223214;266710;282066;95.030568;97.799773;91.35963;35.10792;26.681913;47.815634
111;MA-BES;111;Province  Benslimane;49108;233123;478;232645;92.6932745983;229065;113048;116017;116821;112244;94.894136;98.02572;92.174597;32.17865;21.58104;42.748174
113;MA-BER;113;Province  Berkane;66372;289137;607;288530;158.297628024;287977;181636;106341;143198;144779;95.348568;96.874421;92.817623;33.283515;28.153116;42.188352
