ID;ISO 3166-2;Code Géographique;Région;Ménages;Population;Etrangers;Marocains;PIB_2017 (en millions de DH);PIB par hab_2017 (en DH);IDH_2014;Densite population;Pop totale;Pop urbaine;Pop rurale;Pop masculine;Pop féminine;Taux scolarisation 7-12 ans;Taux scolarisation 7-12 ans URBAINS;Taux scolarisation 7-12 ans RURAUX;Taux analphabétisme pop sup 10 ans;Taux analphabétisme pop sup 10 ans URBAINS;Taux analphabétisme pop sup 10 ans RURAL
1;MA-01;01.;Tanger-Tetouan-Al Hoceima;799124;3556729;7453;3549276;111209;30216;0,758;218.822482906;3540012;2120666;1419346;1795813;1744199;94.610343;97.681754;90.949951;30.996473;22.126337;44.689723
2;MA-02;02.;Oriental;494530;2314346;3954;2310392;52213;21958;0,729;34.5564212351;2302182;1504517;797665;1141574;1160608;92.281171;96.912472;84.570481;34.43292;26.897236;49.075461
3;MA-03;03.;Fès-Meknès;919497;4236892;5728;4231164;92180;21346;0,725;108.846519031;4216957;2549791;1667166;2088237;2128720;94.448184;97.511751;90.493371;34.657904;25.41745;49.329466
4;MA-04;04.;Rabat-Salé-Kénitra;1015107;4580866;20212;4560654;171881;36420;0,765;255.313517453;4552585;3172955;1379630;2262836;2289749;95.509033;97.903956;91.155466;29.446822;21.152045;49.719185
5;MA-05;05.;Béni Mellal-Khénifra;520174;2520776;1262;2519514;61750;24070;0,677;93.1069348091;2512375;1233846;1278529;1236817;1275558;94.191607;97.902242;91.033954;39.087576;28.443645;49.802757
6;MA-06;06.;Grand Casablanca-Settat;1559404;6861739;31239;6830500;339720;47694;0,791;339.464833355;6826773;5022475;1804298;3414102;3412671;95.953786;98.054427;91.406935;26.221661;18.979614;47.550091
7;MA-07;07.;Marrakech-Safi;928120;4520569;8636;4511933;90103;19403;0,703;115.337079012;4504767;1928525;2576242;2267818;2236949;94.660927;97.879097;92.680228;37.789213;23.329188;49.249637
8;MA-08;08.;Drâa-Tafilalet;277998;1635008;796;1634212;26949;16201;0,679;18.5544541267;1627269;555461;1071808;796405;830864;95.044253;98.202766;93.49493;34.45806;22.633681;40.7455
9;MA-09;09.;Souss-Massa;601511;2676847;4914;2671933;69917;25161;0,729;49.7327959337;2657906;1493198;1164708;1300313;1357593;96.916707;98.207377;95.367375;33.136452;24.259424;44.571695
10;MA-10;10.;Guelmim-Oued Noun;90202;433757;347;433410;15085;34317;0,729;8.24927810483;414489;270419;144070;201862;212627;96.089257;98.28477;91.979208;32.850313;25.495793;46.525179
11;MA-11;11.;Laayoune-Sakia El Hamra;78754;367758;777;366981;17404;45419;0,784;2.45733679935;340748;330485;10263;175687;165061;97.746579;97.958558;87.665782;21.492996;20.950083;38.147329
12;MA-12;12.;Eddakhla-Oued Eddahab;29385;142955;888;142067;13508;84949;0,851;0.838297835017;114021;102098;11923;66058;47963;97.996957;98.057752;94.387755;22.317549;21.058792;31.039595
